IR Value,Red Value
0,0
1998,2409
1980,2375
2291,2708
3247,3765
4500,5182
4002,4609
4162,4757
4132,4708
3472,3945
2441,2758
1824,2064
1650,1877
1833,2058
2487,2767
4204,4682
6462,7362
6363,7324
5542,6388
5039,5796
4938,5621
4786,5430
5280,5984
5775,6551
5859,6657
5633,6391
5674,6413
6138,6933
6621,7490
7189,8144
7814,8852
8368,9463
9039,10191
9959,11233
11792,13199
15922,17986
21383,24398
23706,27209
24155,27701
25258,29056
26444,30437
25527,29376
24208,27795
22849,26222
22345,25608
21935,25144
20916,24024
20172,23040
20172,23040
18431,20951
17408,19811
15416,17380
12400,14001
8877,9916
6033,6637
4066,4386
2931,3129
2176,2316
1549,1663
1549,1663
1058,1183
741,895
760,905
804,957
894,1038
1033,1175
965,1139
948,1109
1003,1172
1129,1301
1306,1487
1466,1657
1473,1672
1433,1631
1508,1705
1765,1966
2002,2217
2132,2363
2164,2406
2233,2493
2476,2768
2853,3195
2902,3265
2809,3189
2805,3206
2771,3187
2696,3102
2586,2955
2521,2870
2515,2847
2579,2908
2647,2972
2754,3091
2904,3223
2992,3306
3045,3361
3080,3390
3185,3489
3266,3568
3262,3555
3223,3508
3167,3445
3182,3445
3212,3491
3261,3544
3330,3626
3326,3628
3291,3587
3209,3498
3119,3394
3092,3363
3067,3342
3051,3327
3015,3294
3007,3293
3030,3311
3029,3320
3082,3381
3140,3453
3114,3440
3117,3445
3142,3472
3142,3472
3189,3526
3253,3599
3244,3593
3222,3572
3268,3630
3307,3683
3362,3747
3397,3786
3434,3833
3472,3891
3494,3917
3493,3921
3481,3915
3478,3908
3510,3941
3568,4008
3650,4107
3713,4185
3804,4300
3817,4303
3745,4216
3672,4137
3684,4141
3675,4131
3638,4088
3494,3927
3389,3806
3277,3674
3215,3580
3089,3453
2854,3175
2911,3200
3147,3434
3322,3599
3618,3921
4102,4487
4788,5328
5233,5871
5626,6311
6299,7124
6515,7423
5981,6826
5477,6272
4695,5383
3843,4407
3186,3681
2763,3184
2490,2888
2555,2968
2587,3008
2730,3165
2958,3423
3046,3524
3098,3590
3160,3679
3131,3633
3223,3728
3265,3780
3221,3726
3330,3838
3428,3942
3515,4030
3485,3988
3324,3792
2934,3342
2428,2780
2174,2480
2091,2376
2180,2455
2531,2841
2986,3356
3769,4266
4277,4849
4129,4707
4013,4587
4343,4951
4938,5636
5304,6077
5138,5896
5218,5970
5731,6545
6583,7493
7607,8665
8735,9954
9187,10469
8707,9912
7523,8532
6511,7350
5771,6479
5243,5869
4746,5304
4437,4943
4268,4760
4207,4717
4277,4795
4535,5128
4913,5620
4801,5576
3561,4206
3561,4206
3132,3708
3180,3756
3729,4374
4005,4704
3903,4614
3626,4330
3301,3980
3072,3713
3066,3698
3152,3786
3136,3756
2992,3606
2831,3422
2702,3268
2582,3125
2491,3011
2363,2862
2223,2710
2125,2612
2012,2498
1951,2437
1932,2414
1917,2406
1914,2407
1912,2398
1905,2405
1905,2396
1153,1456
925,1199
758,1020
719,947
651,882
574,797
532,757
465,715
446,679
420,648
390,617
376,607
356,586
347,580
337,574
320,552
315,555
304,529
324,544
300,547
290,535
295,545
290,541
292,540
295,547
284,531
291,545
269,539
284,551
289,546
281,533
288,543
284,514
284,578
288,544
288,544
280,532
286,558
284,528
294,537
296,546
314,556
369,617
419,666
489,699
489,725
507,735
550,786
651,889
909,1147
1121,1377
1014,1238
1068,1302
1141,1384
1269,1509
1278,1514
1179,1414
1032,1234
999,1202
1008,1204
970,1163
923,1139
1008,1203
1145,1342
1460,1666
1788,2025
1946,2206
1831,2083
1736,1973
1524,1738
1267,1451
919,1084
700,868
578,761
536,721
562,739
576,749
559,732
533,714
537,712
610,772
671,828
814,947
938,1059
975,1094
955,1078
941,1057
959,1099
986,1104
992,1110
980,1107
935,1054
899,1023
886,1017
886,1017
911,1040
952,1091
1005,1142
1132,1237
1230,1361
1332,1463
1504,1650
1504,1643
1469,1608
1505,1625
1640,1777
1640,1777
1752,1908
1876,2035
1921,2091
1826,1997
1629,1785
1390,1555
1236,1408
1071,1249
920,1126
908,1102
930,1123
991,1187
1086,1292
1151,1364
1240,1463
1368,1597
1534,1776
1648,1911
1672,1950
1729,2020
1804,2119
1927,2266
2036,2391
2086,2446
2172,2527
2277,2635
2377,2744
2457,2835
2505,2904
2575,2986
2661,3091
2762,3214
2952,3432
3155,3664
3341,3889
3498,4053
3563,4130
3604,4181
3667,4251
3715,4311
3768,4384
3822,4445
3929,4573
4058,4732
4211,4903
4403,5133
4403,5133
4466,5216
4495,5263
4512,5296
4551,5352
4581,5392
4583,5396
4625,5443
4623,5450
4652,5482
4667,5500
4665,5496
4678,5504
4688,5521
4698,5532
4682,5516
4667,5504
4714,5551
4718,5551
4692,5524
4655,5477
4648,5463
4627,5438
4557,5355
4459,5238
4290,5031
4238,4937
4222,4915
4142,4823
4072,4733
3929,4544
3688,4222
3237,3651
2688,2994
2320,2578
1998,2228
1794,2006
1573,1774
1376,1567
1275,1462
1327,1511
1439,1616
1508,1715
1395,1590
1173,1367
1064,1260
1007,1194
1037,1221
1063,1248
997,1185
975,1166
991,1182
1084,1248
1128,1314
1135,1323
1103,1302
1101,1309
1198,1407
1265,1478
1248,1439
1124,1321
1015,1222
1015,1222
1015,1221
1053,1262
1087,1302
1122,1327
1247,1446
1486,1665
1754,1912
1892,2057
1975,2129
2088,2246
2232,2401
2356,2532
2391,2568
2373,2549
2451,2626
2586,2771
2666,2857
2818,3017
3046,3256
3283,3508
3399,3634
3299,3527
3221,3443
3156,3373
3064,3278
2915,3123
2849,3050
2895,3100
2935,3140
2957,3162
2926,3129
2893,3093
2898,3095
2910,3115
2938,3130
1176,1365
1051,1250
844,1032
745,938
745,938
756,945
786,980
811,1005
876,1033
870,1053
873,1057
925,1124
927,1134
1204,1401
