IR Value,Red Value
58333,10698
58243,10606
58192,10582
58176,10545
58041,10370
57728,9935
57287,9348
56885,8778
56412,8179
55949,7607
55722,7310
55403,6888
55103,6504
54415,5723
53535,4556
52173,2519
49893,65152
48294,62971
47556,61877
45970,59875
44481,58076
43758,57225
43913,57433
44387,58061
44387,58061
44912,58770
45324,59335
45220,59193
45203,59183
45100,59065
45295,59264
45796,59903
45950,60177
46118,60414
46535,61016
47054,61720
47688,62550
48039,62997
48171,63192
48077,63113
47937,62959
47908,62915
47947,62984
48138,63206
48421,63519
48598,63658
48511,63594
48131,63144
47817,62797
47674,62635
47589,62545
47454,62377
47392,62322
47524,62479
48060,63090
49493,64754
50276,245
49756,65252
49333,64786
49328,64770
49420,64899
49241,64720
48963,64411
48894,64352
48618,64021
48210,63549
47973,63285
47992,63301
48089,63414
48134,63473
48241,63598
48241,63598
48495,63925
48586,64024
48628,64096
48773,64278
48813,64342
48817,64352
49009,64584
49184,64791
49362,64975
49536,65175
49602,65272
49481,65115
49412,65044
49275,64887
48562,63992
47861,63156
47607,62835
47678,62955
47546,62777
46840,61865
45823,60620
45099,59733
44741,59224
44117,58432
43614,57776
43520,57623
43427,57488
43194,57168
43016,56882
43380,57237
43785,57662
44430,58352
45529,59674
46663,61059
47530,62108
48357,63107
48763,63577
48796,63668
48722,63632
48726,63669
48558,63508
48485,63407
48426,63340
48507,63447
48737,63715
49339,64448
50137,65533
50865,823
51993,2059
53315,3405
54185,4385
53994,4046
53681,3650
52983,2792
52983,2792
52330,2017
51790,1414
51258,762
51159,636
51325,836
51632,1209
52158,1851
52464,2202
52804,2573
53475,3407
54776,4879
56421,6667
58240,8908
60645,11603
63011,14440
64355,15868
64539,16098
64960,16538
211,17458
600,17755
520,17671
165,17256
65195,16667
64389,15802
63465,14801
62553,13837
61775,13008
60976,12079
60245,11337
59614,10694
59141,10253
58610,9796
58088,9215
57802,8980
57648,8864
57512,8767
57283,8528
57045,8206
56898,8036
56883,8039
56947,8145
57214,8408
57499,8777
57611,8910
57854,9244
57727,9168
56248,7352
56248,7352
55450,6420
55309,6302
55349,6385
55356,6443
55430,6615
55298,6497
54887,6011
54120,5182
53368,4259
52898,3579
52438,3066
52264,2896
52181,2856
52427,3261
52360,3207
52158,3056
52152,3061
52093,2959
50391,1305
46873,62964
44531,60219
43184,58758
42737,58253
42890,58402
43259,58743
43584,59097
41859,57095
