IR Value,Red Value
3691,7350
3694,7355
3693,7353
3694,7354
3692,7353
3695,7356
3691,7353
3692,7351
3694,7355
3694,7353
3692,7354
3693,7352
3694,7354
3694,7355
3694,7355
3694,7354
3695,7356
3695,7355
3694,7351
3693,7354
3693,7354
3694,7357
3691,7352
3692,7349
3690,7344
3692,7346
3692,7348
3690,7350
3692,7348
3690,7348
3690,7347
3691,7346
3693,7350
3693,7348
3693,7348
3689,7350
3693,7349
3690,7346
3693,7347
3690,7346
3691,7349
3691,7344
3690,7348
3690,7343
3691,7347
3689,7342
3689,7344
3690,7344
3690,7344
3689,7343
3688,7344
3689,7342
3691,7347
3690,7346
3692,7348
3690,7345
3691,7347
3690,7347
3690,7347
3692,7349
3690,7348
3693,7352
3691,7352
3691,7350
3691,7351
3690,7349
3691,7352
3692,7353
3693,7351
3692,7352
3694,7353
3694,7355
3692,7353
3694,7355
3693,7352
3694,7355
3692,7354
3693,7352
3693,7352
3692,7355
3693,7351
3694,7354
3694,7351
3694,7355
3694,7352
3693,7354
3693,7353
3690,7350
3691,7345
3690,7347
3690,7345
3689,7347
3689,7347
3691,7347
3692,7347
3689,7343
3690,7348
3689,7345
3692,7348
3690,7343
3691,7347
3692,7344
3690,7345
3690,7345
3691,7343
3690,7345
3690,7345
3689,7345
3688,7344
3690,7345
3690,7344
3689,7346
3691,7344
3688,7342
3690,7344
3689,7343
3689,7343
3691,7347
3689,7347
3690,7346
3689,7345
3690,7345
3688,7347
3689,7346
3690,7349
3690,7349
3691,7348
3691,7347
3692,7348
3690,7348
3691,7349
3692,7349
3692,7350
3692,7349
3693,7351
3693,7352
3693,7351
3692,7352
3693,7353
3693,7351
3693,7354
3691,7350
3694,7356
3692,7351
3694,7354
3693,7355
3694,7358
3692,7355
3695,7356
3692,7355
3693,7355
3692,7357
3693,7357
3694,7358
3695,7358
3694,7359
3695,7356
3695,7357
3692,7355
3693,7350
3691,7350
3692,7353
3692,7352
3691,7352
3691,7352
3691,7349
3693,7352
3691,7350
3692,7351
3691,7348
3693,7351
3692,7351
3690,7349
3691,7348
3691,7351
3692,7349
3693,7351
3691,7346
3691,7351
3692,7348
3691,7344
3692,7348
3691,7347
3692,7349
3691,7346
3692,7348
3690,7343
3691,7346
3691,7348
3690,7346
3689,7349
3690,7347
3689,7347
3690,7347
3690,7346
3690,7346
3690,7349
3692,7349
3689,7350
3691,7349
3691,7349
3691,7351
3693,7349
3692,7350
3693,7352
3692,7354
3695,7356
3693,7352
3694,7358
3693,7352
3694,7358
3693,7352
3694,7357
3693,7354
3693,7356
3694,7352
3693,7355
3693,7353
3693,7353
3693,7353
3693,7353
3692,7356
3692,7356
3694,7356
3692,7355
3693,7356
3692,7358
3694,7356
3693,7354
3693,7357
3693,7356
3691,7347
3693,7351
3689,7346
3691,7348
3692,7351
3692,7350
3692,7355
3692,7349
3693,7356
3692,7351
3694,7351
3693,7351
3693,7353
3691,7351
3692,7350
3689,7349
3690,7348
3690,7349
3691,7349
3693,7349
3699,7368
3698,7368
3696,7368
3698,7370
3697,7370
3697,7367
3699,7372
3700,7372
3700,7372
3700,7373
3702,7376
3700,7374
3700,7375
3700,7374
3700,7375
3699,7377
3700,7376
3700,7379
3701,7379
3701,7379
3700,7379
3704,7381
3701,7379
3702,7382
3701,7379
3702,7384
3705,7384
3703,7383
3705,7383
3703,7383
3705,7386
3705,7388
3705,7390
3703,7385
3704,7386
3704,7386
3707,7388
3706,7386
3705,7387
3705,7388
3706,7392
3705,7388
3706,7391
3703,7387
3707,7391
3705,7390
3706,7394
3705,7389
3707,7392
3706,7389
3707,7392
3706,7387
3705,7385
3705,7385
3704,7379
3704,7380
3704,7377
3704,7382
3703,7380
3702,7378
3701,7378
3703,7381
3701,7379
3704,7382
3700,7376
3700,7376
3703,7380
3702,7379
3702,7379
3703,7379
3701,7375
3702,7378
3702,7376
3703,7380
3701,7376
3702,7379
3701,7374
3703,7378
3701,7377
3703,7380
3701,7378
3703,7376
3700,7378
3700,7378
3700,7376
3702,7381
3701,7376
3701,7377
3702,7376
3702,7378
3701,7376
3701,7378
3702,7377
3700,7378
3701,7378
3701,7376
3703,7382
3701,7378
3704,7383
3702,7381
3700,7377
3703,7379
3702,7379
3702,7383
3703,7382
3702,7380
3703,7382
3703,7380
3704,7383
3703,7379
3704,7380
3704,7385
3702,7380
3704,7383
3701,7385
3702,7381
3705,7384
3702,7381
3703,7384
3703,7381
3704,7385
3702,7382
