IR Value,Red Value
63435,63432
5389,8025
5330,8019
5292,8033
5110,7956
4832,7814
4599,7696
4390,7593
4390,7593
4175,7509
4051,7459
4051,7459
4007,7464
3940,7424
3870,7404
3704,7339
3617,7254
3579,7267
3503,7249
3443,7217
3327,7097
3106,6810
2968,6610
2897,6529
2874,6482
2856,6469
2830,6449
2802,6443
2749,6445
2743,6468
2732,6491
2685,6489
2660,6504
2611,6488
2594,6484
2560,6483
2526,6485
2510,6498
2482,6491
2433,6478
2399,6484
2350,6488
2309,6476
2300,6494
2283,6496
2275,6532
2268,6555
2254,6553
2246,6575
2203,6550
2193,6566
2173,6590
2195,6618
2180,6650
2194,6642
2147,6529
2076,6343
2014,6252
1977,6201
1957,6199
1957,6199
1927,6176
1913,6180
1907,6176
1899,6199
1920,6235
1923,6254
1930,6262
1943,6302
1951,6305
1951,6322
1970,6344
1952,6373
1974,6381
1991,6401
1983,6419
2005,6437
2019,6492
2037,6503
2041,6537
2061,6559
2069,6572
2093,6599
2092,6602
2101,6636
2108,6661
2111,6670
2122,6678
2134,6709
2156,6743
2163,6754
2165,6753
2125,6672
2091,6622
2097,6617
2114,6641
2104,6654
2123,6652
2131,6675
2128,6698
2159,6737
2168,6747
2183,6762
2192,6803
2194,6805
2226,6830
2226,6856
2246,6881
2265,6927
2276,6952
2295,6949
2306,6984
2318,6995
2315,7014
2346,7059
2367,7089
2368,7102
2394,7148
2390,7140
2395,7157
2403,7165
2418,7210
2418,7210
2413,7202
2428,7218
2444,7261
2450,7270
2455,7272
2444,7246
2427,7230
2421,7215
2425,7198
2453,7225
2463,7239
2485,7289
2525,7330
2546,7377
2572,7403
2592,7449
2611,7478
2634,7511
2668,7556
2716,7627
2762,7678
2824,7746
2842,7779
2877,7837
2909,7883
2983,7983
3080,8044
3152,8148
3226,8171
3298,8225
3367,8323
3429,8380
3479,8459
3497,8501
3547,8541
3596,8609
3647,8669
3690,8718
3734,8793
3773,8835
3800,8894
3818,8898
3834,8906
3871,8945
3934,9016
3980,9058
4010,9076
4062,9147
4099,9198
4127,9232
4145,9261
4163,9263
4190,9318
4200,9341
4219,9359
4251,9390
4257,9403
4277,9438
4298,9447
4314,9470
4342,9524
4364,9558
4377,9552
4403,9603
4416,9627
4438,9643
4463,9683
4474,9712
4488,9731
4514,9773
4541,9784
4567,9830
4567,9842
4612,9873
4612,9892
4644,9950
4666,9959
4696,9988
4712,9994
4740,10056
4734,10083
4756,10082
4771,10118
4772,10131
4797,10147
4808,10180
4844,10218
4862,10236
4865,10232
4888,10279
4893,10291
4911,10329
4913,10325
4913,10325
4935,10369
4948,10395
4974,10411
4984,10444
4991,10451
5022,10492
5013,10487
5042,10521
5058,10537
5072,10563
5094,10606
5089,10612
5101,10632
5127,10638
5137,10660
5134,10678
5166,10701
5171,10725
5177,10741
5202,10755
5177,10733
5192,10745
5189,10747
5199,10774
5209,10774
5213,10786
5236,10827
5224,10817
5220,10829
5222,10828
5247,10845
5249,10871
5264,10868
63435,63432
113,2449
112,2452
96,2452
99,2468
84,2489
98,2516
70,2504
34,2443
34,2443
65530,2405
65509,2338
65504,2354
65522,2370
65519,2381
65522,2380
65488,2347
65504,2344
65489,2352
65496,2369
65527,2413
24,2468
38,2498
71,2567
127,2685
179,2796
237,2882
214,2887
145,2790
65509,2528
65375,2242
65268,2009
65146,1796
64968,1479
64734,1126
64571,864
64382,505
63780,65017
63579,62900
62310,59081
22351,21488
16503,15951
17215,16437
19387,18015
19217,17372
19710,17624
20331,18152
20412,18375
19707,17817
16745,15303
13293,12173
12938,12341
26241,25807
55242,57849
5840,3875
58271,57344
32768,32768
13548,12382
7214,6309
7214,6309
5408,4836
5641,5115
5760,5247
5666,5148
5587,5066
5415,4898
5273,4760
5201,4692
5250,4737
5346,4832
5470,4944
5767,5194
6033,5413
5698,5099
5305,4749
5036,4529
5373,4791
6952,6122
10868,9626
17135,15834
19640,19080
14921,14925
9344,9370
5969,6098
3949,4184
2865,3170
2399,2736
2151,2512
2002,2374
1910,2292
1825,2216
1736,2144
1656,2077
1611,2038
1574,2005
1542,1973
1533,1962
1531,1964
1534,1965
1540,1968
1539,1966
1542,1970
1538,1968
1536,1964
1536,1964
1535,1960
1539,1965
1541,1966
1541,1966
1547,1971
