IR Value,Red Value,Heart Rate,SpO2
223,219,,
224,217,,
224,218,,
226,219,,
226,217,,
228,219,,
226,218,,
225,217,,
226,220,,
225,218,,
224,220,,
223,219,,
222,220,,
222,220,,
222,219,,
223,222,,
224,220,,
223,218,,
225,221,,
223,219,,
224,219,,
224,222,,
222,219,,
223,220,,
222,221,,
224,221,,
223,222,,
221,220,,
223,222,,
222,220,,
222,220,,
223,221,,
222,220,,
223,222,,
222,221,,
224,221,,
224,222,,
222,220,,
223,223,,
222,221,,
222,221,,
224,223,,
223,221,,
223,222,,
222,222,,
222,222,,
223,224,,
220,221,,
220,223,,
220,222,,
220,222,,
220,222,,
221,224,,
219,222,,
221,225,,
220,223,,
220,223,,
220,225,,
219,222,,
221,224,,
220,225,,
218,223,,
222,224,,
220,223,,
222,224,,
219,225,,
219,224,,
219,224,,
219,222,,
219,223,,
219,224,,
217,222,,
220,222,,
218,222,,
219,222,,
219,221,,
217,220,,
219,221,,
217,221,,
217,219,,
218,220,,
218,219,,
216,220,,
215,218,,
217,217,,
215,216,,
214,215,,
215,217,,
213,213,,
213,213,,
213,214,,
211,212,,
213,212,,
213,214,,
211,213,,
212,212,,
212,211,,
214,214,,
211,212,,
212,211,,
213,213,,
212,212,,
213,213,,
213,213,,
214,212,,
213,214,,
213,212,,
216,214,,
215,215,,
216,214,,
216,217,,
215,217,,
216,216,,
217,217,,
217,217,,
217,216,,
217,215,,
218,217,,
217,216,,
215,216,,
218,218,,
215,214,,
217,215,,
217,216,,
216,215,,
218,216,,
215,215,,
215,212,,
215,214,,
215,214,,
214,212,,
214,212,,
213,212,,
211,209,,
212,212,,
212,211,,
211,210,,
211,210,,
212,211,,
210,209,,
212,208,,
211,210,,
210,211,,
211,209,,
213,212,,
211,211,,
214,212,,
213,214,,
212,211,,
213,213,,
213,213,,
212,213,,
212,213,,
212,213,,
211,213,,
211,213,,
212,214,,
211,212,,
213,212,,
212,213,,
209,211,,
213,212,,
212,213,,
212,213,,
213,214,,
212,214,,
212,213,,
213,214,,
213,214,,
214,216,,
213,214,,
212,215,,
213,215,,
214,214,,
213,214,,
212,215,,
211,212,,
213,214,,
211,213,,
212,214,,
212,213,,
212,212,,
212,213,,
212,212,,
212,212,,
213,215,,
212,212,,
212,212,,
212,213,,
212,212,,
211,212,,
211,213,,
211,213,,
210,211,,
211,212,,
213,214,,
212,213,,
212,213,,
211,213,,
211,212,,
211,212,,
211,212,,
211,212,,
212,213,,
210,212,,
211,212,,
212,213,,
210,212,,
211,213,,
211,212,,
211,212,,
212,212,,
212,212,,
213,213,,
210,211,,
212,212,,
213,214,,
212,213,,
213,214,,
214,215,,
212,213,,
213,214,,
213,214,,
214,215,,
213,215,,
214,215,,
214,216,,
213,213,,
214,217,,
213,215,,
213,216,,
215,218,,
213,215,,
217,217,,
215,218,,
215,217,,
216,217,,
215,218,,
215,216,,
215,217,,
215,216,,
214,216,,
215,214,,
215,216,,
214,216,,
214,214,,
214,214,,
214,214,,
212,212,,
213,214,81,92
31730,59401,,
31730,59397,,
31725,59387,,
31731,59383,,
31737,59389,,
31730,59387,,
31726,59394,,
31728,59403,,
31725,59390,,
31726,59403,,
31732,59392,,
31729,59400,,
