IR Value,Red Value
358,403
358,403
360,405
359,403
361,408
359,404
361,404
361,405
359,402
362,408
359,404
360,406
360,405
357,403
363,407
360,402
359,406
361,405
360,404
362,406
360,404
360,403
359,406
359,403
361,405
358,402
361,405
361,409
360,403
361,404
358,404
360,406
361,408
361,408
360,404
360,404
359,404
359,402
363,405
359,404
361,404
360,405
360,404
362,404
358,403
359,404
359,405
359,405
359,405
359,404
361,405
358,404
357,403
360,407
359,402
361,404
359,405
358,403
361,406
360,403
359,404
358,406
358,403
363,407
360,404
359,405
360,405
356,402
362,406
357,402
360,403
361,406
358,404
361,406
357,402
361,403
361,408
358,401
362,405
357,403
359,404
359,404
357,402
360,405
360,405
358,403
358,404
369,413
775,786
21078,20927
10917,10178
11847,10116
12848,10652
17650,14675
20812,17187
28160,23347
34139,28758
36235,30556
36998,31339
37110,31480
34383,29176
30334,25721
26168,22390
22567,19636
19504,17259
17369,15778
16060,14706
16455,15151
19124,17707
24051,22376
30433,28608
38880,37814
49304,48243
56383,55615
58212,57472
58086,57206
57665,56768
57029,56153
56894,55946
57358,56377
57414,56464
57086,56161
56638,55842
56690,56063
57373,56882
57815,57678
57157,57453
56008,56897
56130,57297
55953,57370
55758,57379
55709,57591
55957,58222
56578,59369
57557,61014
58962,62938
60581,64997
62187,1452
63040,2537
63939,3566
64857,4521
48,5366
542,5986
867,6389
867,6389
1148,6744
1340,7023
1436,7206
1441,7295
1403,7301
1379,7339
1385,7395
1359,7385
1304,7368
1205,7324
1031,7167
918,7113
860,7071
879,7100
918,7170
938,7209
922,7213
920,7230
973,7303
1023,7371
992,7359
954,7314
1003,7366
1026,7421
1054,7473
1059,7490
1192,7636
1396,7863
1542,8057
1567,8071
1548,8052
1563,8080
1558,8093
1529,8074
1505,8028
1501,8032
1473,8023
1470,8008
1492,8047
1459,8012
1447,8033
1446,8050
1447,8041
1425,8036
1465,8082
1552,8152
1603,8152
1631,8197
1649,8216
1688,8271
1730,8321
1730,8321
1781,8382
1786,8399
1779,8401
1784,8414
1804,8409
1807,8452
1820,8454
1831,8487
1832,8501
1832,8501
1843,8493
1830,8515
1862,8535
1885,8572
1876,8584
1870,8587
1897,8595
1920,8635
1924,8632
1924,8650
1902,8634
1888,8628
1895,8627
1890,8625
1927,8675
1935,8717
1936,8698
1916,8693
1904,8684
1918,8693
1926,8705
1932,8720
1928,8718
1940,8738
1950,8749
1940,8757
1949,8737
1987,8786
1984,8791
1978,8810
1969,8798
1975,8793
1997,8837
2028,8866
2048,8892
2056,8900
2079,8946
2093,8968
2126,9021
2162,9059
2141,9067
2148,9059
2165,9077
2167,9093
0,0
619,1640
616,1638
618,1640
618,1640
617,1638
618,1639
618,1640
617,1638
617,1640
619,1642
616,1638
618,1640
618,1640
618,1642
618,1640
618,1642
617,1640
617,1641
619,1641
617,1641
618,1640
619,1641
618,1642
618,1640
617,1641
618,1641
617,1640
618,1640
617,1640
618,1638
618,1640
616,1641
617,1639
618,1640
616,1639
616,1640
619,1641
617,1640
617,1639
617,1640
617,1641
618,1641
617,1639
618,1640
619,1642
616,1639
619,1641
617,1641
617,1640
617,1640
616,1639
618,1641
616,1638
618,1640
619,1641
617,1639
617,1639
617,1640
617,1640
618,1641
