IR Value,Red Value,Heart Rate,SpO2
32431,60029,,
32427,60036,,
32432,60035,,
32425,60036,,
32425,60018,,
32431,60021,,
32418,59996,,
32421,59990,,
32421,59990,,
32414,59985,,
32411,59969,,
32419,59973,,
32415,59966,,
32418,59966,,
32413,59957,,
32414,59962,,
32419,59953,,
32412,59948,,
32412,59955,,
32422,59946,,
32418,59948,,
32409,59937,,
32407,59936,,
32409,59934,,
32408,59939,,
32412,59943,,
32408,59921,,
32413,59926,,
32407,59918,,
32410,59926,,
32401,59917,,
32405,59915,,
32408,59907,,
32404,59889,,
32406,59884,,
32403,59869,,
32398,59856,,
32404,59865,,
32403,59852,,
32403,59852,,
32400,59860,,
32398,59856,,
32397,59855,,
32391,59844,,
32391,59831,,
32401,59844,,
32390,59834,,
32394,59827,,
32404,59833,,
32392,59823,,
32394,59821,,
32397,59833,,
32401,59830,,
32393,59821,,
32388,59818,,
32402,59818,,
32396,59813,,
32390,59809,,
32394,59806,,
32386,59810,,
32388,59796,,
32389,59807,,
32386,59771,,
32386,59770,,
32387,59758,,
32381,59756,,
32383,59767,,
32380,59758,,
32381,59756,,
32376,59751,,
32382,59752,,
32381,59747,,
32367,59749,,
32371,59743,,
32372,59732,,
32368,59725,,
32370,59729,,
32375,59726,,
32372,59726,,
32366,59731,,
32369,59732,,
32363,59729,,
32370,59754,,
32369,59739,,
32372,59733,,
32373,59731,,
32370,59730,,
32370,59735,,
32372,59730,,
32372,59730,,
32371,59714,,
32371,59701,,
32371,59710,,
32362,59692,,
32370,59689,,
32371,59681,,
32373,59689,,
32376,59692,,
32368,59697,,
32375,59693,,
32379,59689,,
32376,59691,,
32376,59691,,
32376,59693,,
32377,59688,,
32375,59699,,
32372,59687,,
32377,59673,,
32378,59681,,
32373,59677,,
32375,59680,,
32373,59675,,
32373,59666,,
32377,59683,,
32377,59669,,
32376,59676,,
32371,59658,,
32372,59651,,
32369,59648,,
32370,59636,,
32364,59618,,
32365,59611,,
32363,59598,,
32363,59602,,
32367,59612,,
32366,59605,,
32359,59592,,
32364,59607,,
32364,59596,,
32364,59588,,
32362,59582,,
32364,59601,,
32360,59570,,
32357,59583,,
32362,59582,,
32360,59575,,
32366,59578,,
32374,59587,,
32363,59576,,
32368,59592,,
32371,59587,,
32373,59590,,
32365,59586,,
32357,59574,,
32347,59560,,
32337,59553,,
32318,59520,,
32246,59577,,
36792,65161,,
38797,1489,,
39800,2431,,
39020,1110,,
36414,63495,,
36414,63495,,
40205,1958,,
42295,3903,,
41353,3116,,
43480,3546,,
41430,2379,,
38184,64583,,
36881,63306,,
36197,62531,,
35842,62138,,
35527,61810,,
35216,61475,,
34925,61248,,
34717,61064,,
34593,60933,,
34498,60849,,
34442,60813,,
34400,60766,,
34385,60715,,
34371,60661,,
34355,60613,,
34346,60550,,
34326,60525,,
34318,60500,,
34279,60497,,
34270,60493,,
34254,60487,,
34248,60469,,
34239,60460,,
34232,60440,,
34229,60437,,
34222,60439,,
34229,60424,,
34232,60431,,
34221,60421,,
34225,60426,,
34241,60421,,
34228,60417,,
34232,60412,,
34233,60422,,
34234,60428,,
34244,60429,,
34252,60434,,
34246,60427,,
34251,60415,,
34252,60417,,
34246,60392,85,55
